2024-05-28 21:14:50 [Telegram, CPU Usage: 9.8 s., Memory Usage: 14.0 MB]
2024-05-28 21:14:50 [MSBuild, CPU Usage: 2.7 s., Memory Usage: 4.0 MB]
2024-05-28 21:14:50 [VBCSCompiler, CPU Usage: 1.0 s., Memory Usage: 20.0 MB]
2024-05-28 21:14:50 [WpfSurface, CPU Usage: 1.5 s., Memory Usage: 40.0 MB]
2024-05-28 21:14:50 [smartscreen, CPU Usage: 0.1 s., Memory Usage: 2.0 MB]
2024-05-28 21:14:50 [notepad, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:14:50 [TaskManager, CPU Usage: 0.5 s., Memory Usage: 115.0 MB]
2024-05-28 21:14:50 [SearchProtocolHost, CPU Usage: 0.0 s., Memory Usage: 13.0 MB]
2024-05-28 21:14:50 [SearchFilterHost, CPU Usage: 0.0 s., Memory Usage: 7.0 MB]
2024-05-28 21:15:00 [System, CPU Usage: 307.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [Registry, CPU Usage: 1.0 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:00 [smss, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [csrss, CPU Usage: 4.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [wininit, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [services, CPU Usage: 6.3 s., Memory Usage: 3.0 MB]
2024-05-28 21:15:00 [lsass, CPU Usage: 3.1 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [svchost, CPU Usage: 51.9 s., Memory Usage: 88.0 MB]
2024-05-28 21:15:00 [fontdrvhost, CPU Usage: 0.6 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [WUDFHost, CPU Usage: 0.7 s., Memory Usage: 2.0 MB]
2024-05-28 21:15:00 [winlogon, CPU Usage: 0.2 s., Memory Usage: 1.0 MB]
2024-05-28 21:15:00 [dwm, CPU Usage: 114.7 s., Memory Usage: 60.0 MB]
2024-05-28 21:15:00 [IntelCpHDCPSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [IntelCpHeciSvc, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [igfxCUIService, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [NVDisplay.Container, CPU Usage: 15.2 s., Memory Usage: 5.0 MB]
2024-05-28 21:15:00 [svchost, CPU Usage: 1.3 s., Memory Usage: 9.0 MB]
2024-05-28 21:15:00 [Memory Compression, CPU Usage: 144.3 s., Memory Usage: 503.0 MB]
2024-05-28 21:15:00 [WmiPrvSE, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [wlanext, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
2024-05-28 21:15:00 [conhost, CPU Usage: 0.0 s., Memory Usage: 0.0 MB]
