2024-01-15 04:29:14 [opera, CPU Usage: 4043,0 s., Memory Usage: 6157,0 MB]
2024-01-15 04:29:14 [opera_crashreporter, CPU Usage: 0,0 s., Memory Usage: 8,0 MB]
2024-01-15 04:29:14 [MoUsoCoreWorker, CPU Usage: 0,3 s., Memory Usage: 20,0 MB]
2024-01-15 04:29:14 [MSBuild, CPU Usage: 10,1 s., Memory Usage: 181,0 MB]
2024-01-15 04:29:14 [VBCSCompiler, CPU Usage: 2,4 s., Memory Usage: 128,0 MB]
2024-01-15 04:29:14 [StandardCollector.Service, CPU Usage: 0,5 s., Memory Usage: 53,0 MB]
2024-01-15 04:29:14 [TaskManager, CPU Usage: 1,3 s., Memory Usage: 118,0 MB]
2024-01-15 04:34:51 [System, CPU Usage: 13127,5 s., Memory Usage: 2,0 MB]
2024-01-15 04:34:51 [Registry, CPU Usage: 340,0 s., Memory Usage: 33,0 MB]
2024-01-15 04:34:51 [smss, CPU Usage: 12,5 s., Memory Usage: 1,0 MB]
2024-01-15 04:34:51 [csrss, CPU Usage: 2052,5 s., Memory Usage: 12,0 MB]
2024-01-15 04:34:51 [wininit, CPU Usage: 6,2 s., Memory Usage: 7,0 MB]
2024-01-15 04:34:51 [services, CPU Usage: 185,0 s., Memory Usage: 8,0 MB]
2024-01-15 04:34:51 [lsass, CPU Usage: 248,7 s., Memory Usage: 24,0 MB]
2024-01-15 04:34:51 [svchost, CPU Usage: 7147,5 s., Memory Usage: 520,0 MB]
2024-01-15 04:34:51 [fontdrvhost, CPU Usage: 176,2 s., Memory Usage: 15,0 MB]
2024-01-15 04:34:51 [WUDFHost, CPU Usage: 47,5 s., Memory Usage: 27,0 MB]
2024-01-15 04:34:51 [winlogon, CPU Usage: 8,8 s., Memory Usage: 12,0 MB]
2024-01-15 04:34:51 [dwm, CPU Usage: 16078,8 s., Memory Usage: 281,0 MB]
2024-01-15 04:34:51 [igfxCUIService, CPU Usage: 0,0 s., Memory Usage: 9,0 MB]
2024-01-15 04:34:51 [NVDisplay.Container, CPU Usage: 166,2 s., Memory Usage: 58,0 MB]
2024-01-15 04:34:51 [nvwmi64, CPU Usage: 53,7 s., Memory Usage: 22,0 MB]
2024-01-15 04:34:51 [RtkAudioService64, CPU Usage: 2,5 s., Memory Usage: 8,0 MB]
2024-01-15 04:34:51 [spoolsv, CPU Usage: 7,5 s., Memory Usage: 15,0 MB]
2024-01-15 04:34:51 [PnkBstrA, CPU Usage: 6,2 s., Memory Usage: 6,0 MB]
2024-01-15 04:34:51 [ibtsiva, CPU Usage: 1,2 s., Memory Usage: 4,0 MB]
2024-01-15 04:34:51 [SynTPEnhService, CPU Usage: 0,0 s., Memory Usage: 5,0 MB]
2024-01-15 04:34:51 [esif_uf, CPU Usage: 1,2 s., Memory Usage: 6,0 MB]
2024-01-15 04:34:51 [sqlwriter, CPU Usage: 5,0 s., Memory Usage: 8,0 MB]
2024-01-15 04:34:51 [OfficeClickToRun, CPU Usage: 71,2 s., Memory Usage: 52,0 MB]
2024-01-15 04:34:51 [RAVBg64, CPU Usage: 27,5 s., Memory Usage: 28,0 MB]
2024-01-15 04:34:51 [SynTPEnh, CPU Usage: 38,8 s., Memory Usage: 21,0 MB]
2024-01-15 04:34:51 [sihost, CPU Usage: 101,2 s., Memory Usage: 25,0 MB]
2024-01-15 04:34:51 [PresentationFontCache, CPU Usage: 12,5 s., Memory Usage: 20,0 MB]
2024-01-15 04:34:51 [taskhostw, CPU Usage: 68,8 s., Memory Usage: 31,0 MB]
2024-01-15 04:34:51 [explorer, CPU Usage: 6101,2 s., Memory Usage: 169,0 MB]
2024-01-15 04:34:51 [SynTPHelper, CPU Usage: 0,0 s., Memory Usage: 5,0 MB]
2024-01-15 04:34:51 [igfxEM, CPU Usage: 8,8 s., Memory Usage: 13,0 MB]
2024-01-15 04:34:51 [igfxHK, CPU Usage: 5,0 s., Memory Usage: 10,0 MB]
2024-01-15 04:34:51 [igfxTray, CPU Usage: 17,5 s., Memory Usage: 12,0 MB]
2024-01-15 04:34:51 [StartMenuExperienceHost, CPU Usage: 81,2 s., Memory Usage: 70,0 MB]
2024-01-15 04:34:51 [RuntimeBroker, CPU Usage: 208,8 s., Memory Usage: 119,0 MB]
2024-01-15 04:34:51 [SearchApp, CPU Usage: 718,8 s., Memory Usage: 95,0 MB]
2024-01-15 04:34:51 [ctfmon, CPU Usage: 1528,8 s., Memory Usage: 22,0 MB]
2024-01-15 04:34:51 [dllhost, CPU Usage: 388,8 s., Memory Usage: 32,0 MB]
2024-01-15 04:34:51 [TabTip, CPU Usage: 127,5 s., Memory Usage: 16,0 MB]
2024-01-15 04:34:51 [LockApp, CPU Usage: 31,2 s., Memory Usage: 42,0 MB]
2024-01-15 04:34:51 [SearchIndexer, CPU Usage: 176,2 s., Memory Usage: 29,0 MB]
2024-01-15 04:34:51 [RtkNGUI64, CPU Usage: 27,5 s., Memory Usage: 15,0 MB]
2024-01-15 04:34:51 [Reverso, CPU Usage: 8813,8 s., Memory Usage: 102,0 MB]
2024-01-15 04:34:51 [GoogleCrashHandler, CPU Usage: 0,0 s., Memory Usage: 1,0 MB]
